" and "," e "
"No search keywords.","Nenhuma palavra-chave de busca."
"Name","Nome"
"Firstname","Nome"
"First Name","Nome"
"Extension Name","Nome da extensão"
"Spreadsheet Name:","Nome da planilha:"
"User Name","Nome de usuário"
"User name","Nome de usuário"
"User Name:","Nome de usuário:"
"Archive file name:","Nome do arquivo comprimido:"
"Package File Name","Nome do arquivo de pacote"
"File name:","Nome do arquivo:"
"Role Name","Nome do cargo"
"Customer Name","Nome do cliente"
"Attribute Set Name:","Nome do grupo de atributos:"
"Template Name","Nome do modelo"
"Profile Name","Nome do perfil"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"First Name:","Nome:"
"Original Magento attribute names in first row:","Nomes originais de atributo do Magento na primeira linha:"
"Note:","Nota:"
"Notes","Notas"
"Notes:","Notas:"
"NOTICE","NOTICE"
"notice","NOTICE"
"Stock notification was saved successfully","Notificação de estoque foi salvo com sucesso"
"Instant Payment Notification (IPN)","Notificação Instantânea de Pagamento (NIP)"
"New Api Key","Nova chave API"
"New Extension","Nova extensão"
"Incoming Message","Nova mensagem"
"New Password","Nova senha"
"New admin password","Nova senha de admin"
"New Tag","Nova tag"
"New Store View","Nova visão de loja"
"New Accounts","Novas contas"
"New Template","Novo modelo"
"New Email Template","Novo modelo de email"
"New System Template","Novo modelo de sistema"
"New Profile","Novo perfil"
"New Item Type","Novo tipo de item"
"New User","Novo usuário"
"New Website","Novo website"
"New Customers","Novos clientes"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","O arquivio pode ser descompactado com <a href=""%s"">%s</a> em sistemas Windows"
"What is this?","O que é isto?"
"Required","Obrigatório"
"Get help for this page","Obter ajuda para esta página"
"Get Image Base64","Obter imagem Base64"
"Options","Opções"
"Optional","Opcional"
"Sort Order","Ordem de ordenação"
"Shipping origin","Origem do envio"
"or","ou"
"Country","País"
"Country:","País:"
"Specific Countries","Países específicos"
"Package","Pacote"
"Package %s data was successfully loaded","Pacote de dados %s foi carregado com sucesso"
"Packages","Pacotes"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não pode incluir opções personalizadas. Opções não serão salvas."
"Dashboard","Painel"
"Magento Commerce - Administrative Panel","Painel de administração – Magento Commerce"
"To","Para"
"to","para"
"For category","Para a categoria"
"For latest version visit: %s","Para última versão visite: %s"
"For product","Para o produto"
"Page","Página"
"Previous page","Página anterior"
"PEAR config","PEAR config"
"Order not longer exist","Pedido não existe mais"
"Order not longer exist.","Pedido não existe mais."
"Order #%s","Pedido número %s"
"Order #%s (%s)","Pedido número %s (%s)"
"Orders","Pedidos"
"Recent Orders","Pedidos recentes"
"Period","Período"
"Profile was deleted","Perfil foi removido"
"Profile was successfully saved","Perfil foi salvo com sucesso"
"Profiles","Perfis"
"Advanced Profiles","Perfis avançados"
"Permanent (301)","Permanente (301)"
"Permissions","Permissões"
"Custom","Personalizado"
"Poll was successfully deleted","Pesquisa foi excluída com sucesso"
"Poll was successfully saved","Pesquisa foi salva com sucesso"
"Please wait, loading...","Por favor aguarde, carregando..."
"Please wait...","Por favor aguarde..."
"Please, add a few answers to this poll first","Por favor, acrescente algumas respostas a esta pesquisa primeiro"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme mudança de site. Todo dado que não foi salvo será perdido."
"Please specify admin custom URL","Por favor, especifique o URL personalizado do admin"
"Please specify at least start or end date.","Por favor, especifique pelo menos data de início ou fim."
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid value from list","Por favor, insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor, insira um valor válido, ex: 10,20,30"
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please fill in 'email' field.","Por favor, preencha o campo 'e-mail'."
"Please select catalog searches","Por favor, selecione buscas de catálogo"
"Please select customer(s)","Por favor, selecione cliente(s)"
"Please select State/Province.","Por favor, selecione estado."
"Please select review(s)","Por favor, selecione revisão(ões)"
"Please select tag(s)","Por favor, selecione tag(s)"
"Please select a custmer","Por favor, selecione um cliente"
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select a store","Por favor, selecione uma loja"
"Please select an option.","Por favor, selecione uma opção."
"Please, select a store view","Por favor, selecione uma visão de loja"
"Please, select visible in stores to this poll first","Por favor, selecione visível nas lojas para esta pesquisa primeiro"
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please make sure that your changes were saved before running the profile.","Por favor, tenha certeza que suas modificações foram salvas antes de executar o perfil."
"Please make sure that all global admin search modules are installed and activated.","Por favor, tenha certeza que todos os módulos globais de administração de busca estão instalados e ativos."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use somente ""a-z,0-9,_"" neste campo."
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"Per Item","Por item"
"per page","por página"
"Per Order","Por pedido"
"Percent","Porcentagem"
"Position of Watermark for %s","Posição da marca d'água para %s"
"Shipment was successfully created.","Postagem foi criada com sucesso."
"Shipment was successfully sent.","Postagem foi enviada com sucesso."
"Shipment #%s created","Postagem número %s criado"
"Email Preview","Pré-visualizar e-mail"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Price","Preço"
"Final Price","Preço final"
"Price:","Preço:"
"Preparing to change $pkg, please wait...","Preparando para alterar $pkg, por favor aguarde..."
"Home","Principal"
"Processed <strong>%s%% %s/%d</strong> items","Processado <strong>%s%% %s/%d</strong> itens"
"Layered Navigation process queued to be killed","Processo de naveação por camada foi enfileirado para ser terminado"
"Processed <strong>%s%% %s/%d</strong> records","Processou <strong>%s%% %s/%d</strong> registros"
"Browse Files...","Procurar arquivos..."
"Browse Available Extensions","Procurar extensões disponíveis"
"Browse Available Remote Extensions","Procurar extensões remotas disponíveis"
"Product","Produto"
"Product:","Produto:"
"Products","Produtos"
"Available Products","Produtos disponíveis"
"Most Viewed Products","Produtos mais vistos"
"Promo","Promoção"
"Promotions","Promoções"
"Skip category selection","Pular seleção de categoria"
"Qty","Qtde"
"Any","Qualquer"
"Any Group","Qualquer grupo"
"Any Attribute Set","Qualquer grupo de atributos"
"Any Store","Qualquer loja"
"Any Status","Qualquer status"
"Any Type","Qualquer tipo"
"Any Visibility","Qualquer visibilidade"
"Amounts","Quantias"
"Quantity","Quantidade"
"Stock Quantity:","Quantidade em estoque:"
"Track order","Rastrear compra"
"Track this shipment","Rastrear esta postagem"
"Revenue","Receita"
"Recommended","Recomendado"
"Rebuild Flat Catalog Category","Reconstruir catálogo flat de categorias"
"Rebuild Flat Catalog Product","Reconstruir catálogo flat de produtos"
"Retrieve Password","Recuperar senha"
"Resources","Recursos"
"Role Resources","Recursos do cargo"
"Roles Resources","Recursos dos cargos"
"Reset","Redefinir"
"Resize","Redimensionar"
"Redirect","Redirecionar"
"Rebuild","Refazer"
"Backup record was deleted","Registro de backup foi apagado"
"Imported <strong>%s</strong> records","Registros importados <strong>%s</strong>"
"Wishlist Report","Relatório de lista de desejos"
"Sales Report","Relatório de vendas"
"Reports","Relatórios"
"Sender","Remetente"
"Remove","Remover"
"Results","Resultados"
"Return Html Version","Retornar versão HTML"
"Log Out","Sair"
"Save","Salvar"
"Save & Generate","Salvar & gerar"
"Save Role","Salvar cargo"
"Save As...","Salvar como..."
"Save Config","Salvar config"
"Save PEAR Config","Salvar config PEAR"
"Save cache settings","Salvar configurações de cache"
"Save Account","Salvar conta"
"Save data and Create Package","Salvar dados e criar pacotes"
"Save and Continue Editing","Salvar e continuar editando"
"Save And Continue Edit","Salvar e continuar editando"
"Save Template","Salvar modelo"
"Save package with custom package file name","Salvar pacote com nome de pacote personalizado"
"Save Profile","Salvar perfil"
"Save Currency Rates","Salvar taxas de moeda"
"Save User","Salvar usuário"
"Advanced Section","Seção avançada"
"Advanced Admin Section","Seção de administração avançada"
"Currency Setup Section","Seção de configuração de moeda"
"Developer Section","Seção de desenvolvimento"
"Design Section","Seção de design"
"Store Email Addresses Section","Seção de endereços de e-mail da loja"
"System Section","Seção de sistema"
"General Section","Seção geral"
"Web Section","Seção web"
"Multiple Select","Seleção múltipla"
"Select","Selecionar"
"Select Category","Selecionar categoria"
"Select date","Selecionar data"
"Select Date","Selecionar data"
"Date selection:","Selecionar data:"
"Time selection:","Selecionar hora:"
"Select Range","Selecionar intervalo"
"Select All","Selecionar todos"
"Select Visible","Selecionar visíveis"
"Select website from map","Selecione o website de onde mapear"
"Select website to map","Selecione o website para mapear"
"Date selector","Seletor de data"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Password","Senha"
"Password:","Senha:"
"Decimal separator:","Separador decimal:"
"Import Service","Serviço de importação"
"Web Services","Serviços web"
"Web services","Serviços web"
"FTP Host[:Port]","Servidor FTP[:porta]"
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Yes","Sim"
"Yes (only price with tax)","Sim (apenas preço com imposto)"
"System","Sistema"
"About the calendar","Sobre o calendário"
"Lastname","Sobrenome"
"Last Name","Sobrenome"
"Last Name:","Sobrenome:"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Somente atributos com escopo ""Global"", tipo de entrada ""Dropdown"" e utilidade para criar produto configurável ""Sim"" estão disponíveis."
"Grid only","Somente grade"
"List only","Somente Lista"
"Status","Status"
"Account status","Status da conta"
"CatalogInventory Stock Status was rebuilt successfully","Status de estoque ""CatalogInventory"" foi reconstruído com sucesso"
"Inventory Stock Status","Status do estoque de inventário"
"Status:","Status:"
"Your answers contain duplicates.","Suas respostas contém duplicações."
"Subpackage","Sub pacote"
"Subpackage can't be conflicting","Sub pacote não pode ter conflito"
"Subpackages","Sub pacotes"
"Subtotal","Subtotal"
"Summary","Sumário"
"Summary:","Sumário:"
"Switch/Solo card start Date: %s/%s","Switch/Solo data de início do cartão: %s/%s"
"Switch/Solo card issue number: %s","Switch/Solo número de emissão do cartão: %s"
"Switch/Solo Only","Switch/Solo somente"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data de início do cartão: %s/%s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) somente"
"Tag was successfully deleted","Tag foi excluída com sucesso"
"Tag was successfully saved","Tag foi salva com sucesso"
"Tags","Tags"
"Pending Tags","Tags pendentes"
"File size should be more than 0 bytes","Tamanho do arquivo deve ser maior que 0 bytes"
"Size for %s","Tamanho para %s"
"Old rate:","Taxa antiga:"
"Rates","Taxas"
"Tb","Tb"
"Lifetime Sales","Tempo de vida das vendas"
"Temporary (302)","Temporário (302)"
"Search Term","Termo de busca"
"Search Terms","Termos de buscas"
"Text","Texto"
"Type","Tipo"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Address Type:","Tipo de endereço:"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Template Type","Tipo de modelo"
"Type:","Tipo:"
"All possible rates were fetched, click on ""Save"" to apply","Todas as possíveis taxas foram afetadas, clique em ""Salvar"" para aplicar."
"All rates were fetched, click on ""Save"" to apply","Todas as taxas foram afetadas, clique em ""Salvar"" para aplicar."
"All Tags","Todas tags"
"All valid rates successfully saved","Todas taxas válidas foram salvas com sucesso"
"All Store Views","Todas visões da loja"
"All Cache","Todo cache"
"All Files","Todos arquivos"
"All fields","Todos campos"
"All countries","Todos países"
"All Allowed Countries","Todos países permitidos"
"All Websites","Todos websites"
"Top 5 Search Terms","Top 5 termos de busca"
"Total","Total"
"Grand Total","Total"
"Total %d records found","Total %d registros encontrados"
"Order Totals","Total da compra"
"Invoice Totals","Total da fatura"
"Credit Memo Totals","Total de memorandos de crédito"
"Credit Memo total must be positive.","Total do memorando de crédito deve ser positivo."
"Total Invoiced","Total faturado"
"Total Refunded","Total reembolsado"
"Payment Data Transfer (PDT)","Transferência de Dados de Pagamento (TDP)"
"Data transfer:","Transferência de dados:"
"Toggle Editor","Trocar editor"
"All","Tudo"
"One of options row has error","Uma das linhas de opções contém erro"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uma nova senha foi enviado para seu endereço de e-mail. Por favor, verifique seu e-mail e retorne para entrar."
"Merge Now","Unir agora"
"Invalid URL","URL inválido"
"Remote URL:","URL remoto:"
"Use Config Settings","Usar as configurações do config"
"Use default","Usar padrão"
"Use Default Value","Usar valor padrão"
"Use website","Usar website"
"User","Usuário"
"User was successfully deleted","Usuário foi excluído com sucesso"
"User was successfully saved","Usuário foi salvo com sucesso"
"Invalid Username or Password.","Usuário ou senha inválidos."
"Users","Usuários"
"Role Users","Usuários do cargo"
"Value","Valor"
"Invalid store value","Valor de loja inválido"
"Invalid section value","Valor de seção inválido"
"Invalid website value","Valor de website inválido"
"Discount Amount","Valor do desconto"
"Shipping Price","Valor do frete"
"Subtotal Amount","Valor do subtotal"
"Total Amount","Valor total"
"Total Order Amount","Valor total do pedido"
"Enclose Values In:","Valores incluídos em:"
"Default Values","Valores padrões"
"Default (Admin) Values","Valores padrões (admin)"
"Go Today","Vá hoje"
"Version","Versão"
"API Version","Versão da API"
"Release Version","Versão de lançamento"
"Available Version","Versão disponível"
"Magento ver. %s","Versão do Magento: %s"
"Installed Version","Versão instalada"
"PHP Version","Versão PHP"
"Version:","Versão:"
"Store View","Visão da loja"
"Visibility:","Visibilidade:"
"Guest","Visitante"
"Preview","Visualização"
"View","Visualizar"
"View Statistics for","Visualizar estatísticas para"
"Preview Template","Visualizar modelo"
"View Actions XML","Visualizar XML de ações"
"You successfully logged out.","Você desconectou com sucesso."
"You cannot delete account of yourself","Você não pode excluir a sua própria conta"
"You can not delete self assigned roles.","Você não pode excluir cargos auto associados."
"You have not enought permissions to login.","Você não tem permissão para entrar."
"You have not enought permissions to use this functionality.","Você não tem permissão para usar esta funcionalidade."
"You need specify carrier.","Você precisa especificar o transportador."
"You need to specify order items","Você precisa especificar os itens do pedido"
"Do you really want to KILL parallel process and start new indexing process?","Você realmente deseja TERMINAR os processos paralelos e começar um novo processo de indexação?"
"You have","Você tem"
"Are you sure you wish to UPGRADE all selected packages?","Você tem certeza que deseja ATUALIZAR todos pacotes selecionados?"
"Are you sure you wish to UNINSTALL all selected packages?","Você tem certeza que deseja DESINSTALAR todos pacotes selecionados?"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure you wish to INSTALL all selected packages?","Você tem certeza que deseja INSTALAR todos pacotes selecionados?"
"Are you sure that you want to strip tags?","Você tem certeza que deseja remover as tags?"
"Back","Voltar"
"Back to Login","Voltar para entrar"
"Back to local packages","Voltar para pacotes locais"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Website","Website"
"Staging Website: ","Website estágio:"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Lojas"
"XML","XML"
"Profile Actions XML","XML de ações de perfis"
"[ deleted ]","[ excluído ]"
"[deleted]","[excluído]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}} não é recomendado usar em um ambiente de produção declarar o URL de Base Insegura / URL de Base Segura. É altamente recomendado alterar este valor na <a href=""%s"">configuração</a> de seu Magento."
